SYMBOL	DATE	OPEN	HIGH	LOW	CLOSE	VOLUME
BORANA	2026-02-13	376.95	377.95	365.65	371.25	18718
BOROLTD	2026-02-13	251.8	254.45	246.05	253.35	141347
BORORENEW	2026-02-13	502.1	504.0	494.0	494.85	132229
BOROSCI	2026-02-13	117.9	121.6	114.46	118.81	238480
BOSCH-HCIL	2026-02-13	1358.8	1414.8	1352.1	1403.5	7314
BOSCHLTD	2026-02-13	36415.0	36420.0	35600.0	35695.0	13848
BOSS	2026-02-13	39.9	39.9	39.9	39.9	2000
BPCL	2026-02-13	377.45	378.4	372.95	374.1	2696607
BPL	2026-02-13	59.25	59.48	57.5	58.13	36296
BRANDMAN	2026-02-13	201.75	211.8	199.0	211.8	519200
BRIGADE	2026-02-13	787.1	792.55	757.0	762.95	233611
BRIGHOTEL	2026-02-13	62.25	62.25	60.99	61.41	111659
BRITANNIA	2026-02-13	6080.0	6098.5	5968.0	5980.5	159821
BRNL	2026-02-13	20.7	21.29	20.0	20.91	31067
BROOKS	2026-02-13	75.88	77.78	73.74	75.81	48890
BSE	2026-02-13	3100.0	3127.0	3017.9	3025.3	3885000
BSE500IETF	2026-02-13	39.94	39.94	39.26	39.36	85296
BSHSL	2026-02-13	88.91	92.65	88.91	91.1	18480
BSL	2026-02-13	139.01	141.37	137.06	138.29	2291
BSLGOLDETF	2026-02-13	134.8	134.96	133.13	134.45	411637
BSLNIFTY	2026-02-13	30.29	30.29	29.6	29.71	327466
BSLSENETFG	2026-02-13	83.0	84.0	82.13	82.93	10048
BSOFT	2026-02-13	412.65	416.3	374.0	398.95	11659525
BTML	2026-02-13	7.8	8.5	7.57	8.12	594372
BUILDPRO	2026-02-13	920.0	941.8	836.0	852.9	113632
BULKCORP	2026-02-13	50.85	55.65	50.85	55.6	7200
BUTTERFLY	2026-02-13	643.1	643.1	626.0	626.9	1648
BVCL	2026-02-13	46.4	46.4	45.02	45.72	19003
BYKE	2026-02-13	51.26	51.51	50.1	50.81	34547
C2C	2026-02-13	381.6	384.35	374.0	382.7	27150
CALSOFT	2026-02-13	14.29	14.29	13.63	13.88	20784
CAMLINFINE	2026-02-13	167.2	171.71	165.05	165.98	461330
CAMPUS	2026-02-13	271.0	275.45	271.0	272.8	198732
CAMS	2026-02-13	726.0	728.8	715.0	721.05	487002
CANARYS	2026-02-13	28.0	28.0	27.15	27.35	48000
CANBK	2026-02-13	143.8	143.8	141.42	141.77	14139257
CANFINHOME	2026-02-13	884.8	891.0	859.45	884.25	240309
CANHLIFE	2026-02-13	147.25	153.72	146.19	151.61	1626233
CANTABIL	2026-02-13	309.9	309.9	300.65	305.15	198147
CAPACITE	2026-02-13	261.63	262.09	254.65	258.31	260858
CAPILLARY	2026-02-13	552.0	556.45	511.95	518.15	219802
CAPINVIT	2026-02-13	71.85	72.09	71.5	71.85	244440
CAPITALSFB	2026-02-13	270.5	274.3	267.8	272.7	43021
CAPLIPOINT	2026-02-13	1729.8	1737.7	1708.2	1731.2	38711
CAPTRUST	2026-02-13	13.98	14.5	13.8	13.97	38698
CARBORUNIV	2026-02-13	830.0	842.45	820.35	825.5	166861
CARERATING	2026-02-13	1615.0	1646.5	1585.4	1612.8	38765
CARRARO	2026-02-13	565.0	574.3	550.0	568.8	132487
CARTRADE	2026-02-13	2120.0	2120.9	1920.1	1937.4	1079293
CARYSIL	2026-02-13	967.0	985.2	957.05	975.8	50543
CASHIETF	2026-02-13	1049.7	1049.72	1049.7	1049.72	86674
CASTROLIND	2026-02-13	186.01	186.99	185.0	185.2	1622832
CCAVENUE	2026-02-13	18.38	19.4	17.85	18.9	25003866
CCCL	2026-02-13	17.3	17.65	16.9	16.98	289429
CCHHL	2026-02-13	13.9	14.21	13.6	13.98	10071
CCL	2026-02-13	988.0	1017.8	970.6	994.0	119824
CDSL	2026-02-13	1350.0	1359.0	1321.1	1335.3	1663043
CEATLTD	2026-02-13	3987.0	4044.2	3917.6	3965.3	217124
CEDAAR	2026-02-13	40.0	42.3	34.7	36.65	37000
CEIGALL	2026-02-13	299.0	299.0	288.5	289.65	160031
CELEBRITY	2026-02-13	8.94	8.97	8.43	8.54	71447
CELLECOR	2026-02-13	27.15	27.45	26.75	26.95	249000
CELLO	2026-02-13	507.5	513.3	502.05	507.7	39287
CELLPOINT	2026-02-13	15.4	15.7	15.4	15.7	3600
CEMPRO	2026-02-13	613.0	620.25	601.0	602.8	274547
CENTENKA	2026-02-13	451.0	460.0	444.9	447.25	21713
CENTEXT	2026-02-13	22.62	22.94	21.8	22.19	89499
CENTRALBK	2026-02-13	37.23	37.23	36.76	36.88	4146211
CENTRUM	2026-02-13	26.8	26.9	25.7	25.96	237458
CENTUM	2026-02-13	2480.0	2480.0	2264.7	2307.1	54460
CENTURYPLY	2026-02-13	775.0	780.0	761.9	765.6	28129
CERA	2026-02-13	5170.0	5182.9	5097.0	5111.8	7443
CEREBRAINT	2026-02-13	5.24	5.39	5.03	5.23	10816
CESC	2026-02-13	152.8	154.06	149.52	150.33	1903977
CEWATER	2026-02-13	371.0	393.0	360.0	380.55	113188
CGCL	2026-02-13	178.51	178.51	174.49	177.24	399020
CGPOWER	2026-02-13	680.0	684.5	671.4	680.15	1143123
CGRAPHICS	2026-02-13	160.0	161.6	160.0	160.0	25600
CHALET	2026-02-13	877.0	877.0	851.3	858.4	65289
CHAMBLFERT	2026-02-13	457.0	457.75	449.2	453.65	643526
CHANDAN	2026-02-13	300.0	300.0	283.0	284.5	64000
CHAVDA	2026-02-13	108.0	111.1	108.0	109.0	10000
CHEMBOND	2026-02-13	159.0	159.89	154.1	155.69	5271
CHEMBONDCH	2026-02-13	162.54	164.0	156.0	158.64	9501
CHEMCON	2026-02-13	181.0	181.2	173.99	175.51	60396
